"Country","Year","CO2_Mt"
"Belgium",2001,125.136436425223
"Bulgaria",2001,49.2557702586115
"Canada",2001,561.253209970605
"Croatia",2001,21.0407601512246
"Cyprus",2001,6.90686412037924
"Czech Republic",2001,126.11256970221
"Denmark",2001,57.0492748229395
"Estonia",2001,15.5034777258814
"European Union (15)",2001,3432.93883927641
"European Union (28)",2001,4205.7635993947
"Finland",2001,62.0677070043074
"France",2001,416.267009719617
"Germany",2001,907.541968227503
"Greece",2001,104.97573110964
"Hungary",2001,59.4880136039771
"Iceland",2001,2.77327995793049
"Ireland",2001,47.0983273071484
"Italy",2001,468.283969860185
"Japan",2001,1236.32051793082
"Latvia",2001,7.3949095406747
"Liechtenstein",2001,0.220227785353134
"Lithuania",2001,12.555830541008
"Luxembourg",2001,9.29578575944541
"Malta",2001,2.46484082391666
"Monaco",2001,0.113880505040393
"Netherlands",2001,175.691964223673
"New Zealand",2001,33.4081416596601
"Norway",2001,43.1964542921132
"Poland",2001,314.937704933291
"Portugal",2001,65.5641215725969
"Romania",2001,97.8507813802862
"Russian Federation",2001,1499.24972203737
"Slovakia",2001,43.306077574746
"Slovenia",2001,16.1249605645705
"Spain",2001,308.786441314706
"Sweden",2001,55.0664093915179
"Switzerland",2001,44.904292769812
"Turkey",2001,209.15451214113
"Ukraine",2001,300.317414974964
"United Kingdom",2001,567.904298669384
"United States",2001,5866.46016957761
"Australia",2002,358.296261754484
"Austria",2002,71.7476255212724
"Belarus",2002,52.5288023054898
"Belgium",2002,125.459391260031
"Bulgaria",2002,46.2603296748379
"Canada",2002,566.954241515965
"Croatia",2002,22.110859731098
"Cyprus",2002,7.10288561936569
"Czech Republic",2002,123.171674065768
"Denmark",2002,56.5683226042316
"Estonia",2002,15.0094171007426
"European Union (15)",2002,3425.9001571965
"European Union (28)",2002,4179.71350299525
"Finland",2002,64.5750415292628
"France",2002,412.019702815722
"Germany",2002,890.875927289321
"Greece",2002,104.714343158058
"Hungary",2002,58.4986879931901
"Iceland",2002,2.86285877258034
"Ireland",2002,45.6761224375928
"Italy",2002,470.53085718054
"Japan",2002,1273.39659932864
"Latvia",2002,7.41138797498227
"Liechtenstein",2002,0.225037661595191
"Lithuania",2002,12.6538717545602
"Luxembourg",2002,10.057100730345
"Malta",2002,2.48479721991986
"Monaco",2002,0.111820754572286
"Netherlands",2002,175.991026439265
"New Zealand",2002,33.5916702028095
"Norway",2002,42.364173493563
"Poland",2002,303.506405174206
"Portugal",2002,69.3524663214508
"Romania",2002,98.331406163444
"Russian Federation",2002,1500.32194644385
"Slovakia",2002,41.1143759669799
"Slovenia",2002,16.2761897776855
"Spain",2002,328.878655534622
"Sweden",2002,55.9973487992507
"Switzerland",2002,43.8441164296568
"Turkey",2002,218.193903062146
"Ukraine",2002,303.753668500756
"United Kingdom",2002,551.553093360766
"United States",2002,5906.90691572729
"Australia",2003,364.605103596283
"Austria",2003,77.8009919749397
"Belarus",2003,52.8913238659176
"Belgium",2003,127.275932359834
"Bulgaria",2003,50.5045299071831
"Canada",2003,584.115807680549
"Croatia",2003,23.5341385541894
"Cyprus",2003,7.48398857308571
"Czech Republic",2003,126.599572793417
"Denmark",2003,61.7604411836882
"Estonia",2003,16.8364038070013
"European Union (15)",2003,3491.98078699108
"European Union (28)",2003,4276.58573472403
"Finland",2003,72.365650546623
"France",2003,420.492784442904
"Germany",2003,893.59993132662
"Greece",2003,108.788754835874
"Hungary",2003,61.142817422654
"Iceland",2003,2.85460113702715
"Ireland",2003,45.1512296761994
"Italy",2003,486.559675347127
"Japan",2003,1278.50500203158
"Latvia",2003,7.62274331527056
"Liechtenstein",2003,0.234124317012601
